SCHEME NAME,CATEGORY,DETAILS,BENEFITS,ELIGIBILITY,GENDER,AGE,RESIDENTIAL STATUS,CASTE AND COMMUNITIES,DISABILITY STATUS,ORPHAN,OCCUPATION,ANNUAL INCOME,EDUCATION LEVEL,MARITAL STATUS,DOCUMENTS REQUIRED
TEC Internship Scheme,"Graduation, Internship, Postgraduation, Research, Student, Telecommunication","The ‘TEC Internship Scheme’ by the Telecommunication Engineering Centre (TEC), Department of Telecommunications, New Delhi intends to engage 25 Interns in order to study/formulate/operationalize/assess various works/projects/policies etc. The internship Programme will allow young talent to be associated with the TEC work for mutual benefit. It will enable TEC to interact with young scholars and get fresh ideas and study/ research support from academics. At the same time, it will provide an opportunity for young scholars to contribute to the TEC work and have insight into the related technical work.","Token Amount, The interns will be paid a token amount of ₹ 15,000/- per month., Certificate, The Interns will be issued a Certificate at the end of the internship.","1. The applicant should be a citizen of India., 2. The applicant should be studying at a recognized university in India or abroad., 3. The applicant should be studying in the 3rd/ 4th year (Final or pre-final year) in Bachelor's Degree course in Electronics/ Communications/ Telecommunication/ Radio/ Information Technology/ Computers / Electrical Engineering or related discipline and secured a minimum of 60% marks.","Male,Female,Others",,,,,,,,Undergraduate,,"Documents Required, Curriculum Vitae (CV)., Letter of Recommendation by the Institution., Documentary proof of the conversion norm of their institute/ university (only in the case of applicants with CGPA mentioned in their degrees instead of percentage marks)."
Swatantrata Sainik Samman Pension Scheme,"Freedom Fighter, Pension, Prisoner","Launched on 15th August 1972, ""Swatantrata Sainik Samman Pension Scheme"" is a Pension Scheme by the Ministry of Home Affairs. The scheme provides the grant of pension to living freedom fighters and their families; if they are no more alive, and to the families or martyrs. The benefits of the pension scheme are extended to all freedom fighters as a token of SAMMAN to them.","Category of Freedom Fighters: Ex-Andaman Political/ Prisoners/ Spouses, Basic Pension w.e.f. 15.08.2016 in Rupees (Per Month): 30,000/-, Total Amount of Pension Including 3% DR in Rupees (Per Month): 30,900/-, Category of Freedom Fighters: Freedom Fighters Who Suffered Outside British India/Spouses, Basic Pension w.e.f. 15.08.2016 in Rupees (Per Month): 28,000/-, Total Amount of Pension Including 3% DR in Rupees (Per Month): 28,840/-, Category of Freedom Fighters: Other Freedom Fighters/ spouses including INA, Basic Pension w.e.f. 15.08.2016 in Rupees (Per Month): 26,000/-, Total Amount of Pension Including 3% DR in Rupees (Per Month): 26,780/-, Category of Freedom Fighters: Dependent parents/eligible daughters (maximum 3 daughters at any point of time), Basic Pension w.e.f. 15.08.2016 in Rupees (Per Month): 50% of the sum that would have been admissible to the Freedom Fighter i.e. in the range of ₹ 13,000/- to ₹ 15,000/-, Total Amount of Pension Including 3% DR in Rupees (Per Month): 50% of the sum that would have been admissible to the Freedom Fighter i.e. in the range of ₹ 13,390/- to ₹ 15,450/-","For the purpose of granting a pension under the scheme, a freedom fighter is:, (a) A person who had suffered a minimum imprisonment of six months in the mainland jails before Independence., However, ex-INA personnel will be eligible for pension if the imprisonment/detention suffered by them was outside India., The minimum period of actual imprisonment for pension eligibility has been reduced to three months, in the case of women and SC/ST freedom fighters from 01.08.1980., Explanation, 1. Detention under the orders of the competent authority will be considered imprisonment., 2. A period of normal remission of upto one month will be treated as part of actual imprisonment., 3. In the case of a trial ending in conviction, the trial period will be counted towards actual imprisonment suffered., 4. A broken period of imprisonment will be totalled up for computing the qualifying period., Eligible Dependents, For the purpose of granting Samman pension, the family includes (if the freedom fighter is not alive) mother, father, widower/widow if he/she has not since remarried, and unmarried daughters., Not more than one eligible dependent can be granted a pension and in the event of availability of more than one dependent the sequence of eligibility will be widow/widower, unmarried daughters, mother and father., (b) A person who remained underground for more than six months provided he was:, 1. a proclaimed offender; or, 2. one on whom an award for arrest/head was announced; or, 3. one for whose detention order was issued but not served., (c) A person interned in his home or externed from his district provided the period of internment/externment was six months or more., (d) A person whose property was confiscated or attached and sold due to participation in the freedom struggle., (e) A person who became permanently incapacitated during firing or lathi charge., (f) A person who lost his job (Central or State Government) and thus means of livelihood for participation in the national movement.",,,,,,,,,,,"(A) Imprisonment/Detention etc., Certificate from the concerned jail authorities, District Magistrates or the State Government in case of non-availability of such certificates co-prisoner certificates from a sitting MP or MLA or Ex-MP or ex-MLA specifying the jail period (Annexure-I in the application form.), (B) Remained Underground, (i) Documentary evidence by way of Court’s/Government orders proclaiming the applicant as an offender, announcing an award on his head, or for his arrest or ordering his detention., (ii) Certificates from veteran freedom fighters who had themselves undergone imprisonment for five years or more if the official records are not forthcoming due to their non-availability., (C) Internment or Externment, (i) Order of internment or externment or any other corroboratory documentary evidence., (ii) Certificates from prominent freedom fighters who had themselves undergone imprisonment for five years or more if the official records are not available. (Annexure-II in the application.), NOTE: The Certifier veteran freedom fighters in respect of underground suffering, internment/externment and the applicant should belong to the same administrative unit before the reorganization of States and their area of operation must be the same., (D) Loss of Property, Job, etc., Orders of confiscation and sale of property, Orders of dismissal or removal from service., AT THE TIME OF RECEIVING PENSION, The payment of the pension will be made on the production of the following identification documents to the Treasury Officer/Sub-Treasury Officer:, 1. Photograph., 2. Two prominent identification marks., 3. Specimen signature or left-hand thumb and finger impressions duly attested by a competent authority, in the case of freedom fighters who are not literate enough to sign their names., 4. Date of birth."
Swarnajayanti Fellowships Scheme,"Fellowship, PhD, Research, Swarnajayanti, Young Scientist","The Government of India had instituted a scheme ""Swarnajayanti Fellowships Scheme"" to commemorate India's fiftieth year of Independence. Under this scheme, a selected number of young scientists, with a proven track record, are provided special assistance and support to enable them to pursue basic research in frontier areas of science and technology. Scientists selected for the award will be allowed to pursue unfettered research with freedom and flexibility in terms of expenditure as approved in the research plan. The project should contain innovative research ideas and it should have the potential of making an impact on R&D in the discipline. The fellowships are scientist-specific and not institution-specific, very selective, and have close academic monitoring.","The award consists of a Fellowship of ₹25,000/- per month in addition to the salary drawn from the parent Institute for a period of 5 years., The fellows selected along with their projects will be considered for funding by the Science & Engineering Research Board (SERB) as per SERB norms, for fellowship, recurring and non-recurring heads.","The fellowship is open to Indian Nationals having a regular position in a recognized Indian academic/research organization., The applicant should possess a Ph.D. in Science/Engineering/Medicine and should not be drawing Fellowship from any other Scheme of Government of India., Scientists should be active in the frontier area of science and engineering with outstanding contributions in the form of research publications and/ or patents, peer recognition from the scientific community, awards, etc. in his/ her area of research., The organization/institute should also undertake financial and other management responsibilities of the project throughout the five-year term in case a fellowship is awarded to the scientist., The fellowship is open to scientists between 30 to 40 years of age.","Male,Female,Others",30-40,,,,,,,Phd,,"1. Identity proof i.e. Aadhaar Card, 2. Passport-size Photograph, 3. Proof of age, 4. Education Qualification Certificates, 5. Proof of employment including current employment, 6. Professional recognition, awards, fellowships received, 7. Complete list of publications in SCI journals & other referred journals, 8. Any other document, as required"
Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,"Fellowship, Girls Education, PhD, Research, Single Girl Child, Social Science, Swami Vivekananda, Education","A fellowship scheme by the University Grants Commission (UGC) for Single Girl Child for research in Social Sciences with an aim to compensate for direct costs of higher education, especially for such girls who happen to be the only girl child in their family.","Financial Assistance, The financial assistance available under the scheme is as follows:, 1. Fellowship @ ₹25,000/- per month for the Initial two years; @ ₹28,000/- per month for the remaining tenure., 2. Contingency @ ₹10,000/- per annum for initial two years; @ ₹20,500/- per annum for remaining tenure., 3. Escort Reader Assistance @ ₹2,000/- per month in case of PWD candidates., Slots, The number of slots for the fellowship may be decided every year on the basis of eligible applications, complete in all respects, received through online mode., Tenure, The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted up to the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date., HRA, Suitable single-seated hostel accommodation may be provided to the candidates in the institutions. In such cases, the fellow is eligible to draw only hostel fees excluding mess, electricity, water charges, etc. A certificate to this effect is to be furnished through the Registrar/Director/Principal. HRA is not permissible for those candidates who are staying in Hostel accommodation., In case of non-availability of hostel accommodation, the fellow may be provided with single accommodation by the host institution. In such cases, the rent paid by the fellow on an actual basis may be reimbursed subject to the ceiling of HRA as per Govt. of India norms., If the fellow makes her own arrangements of accommodation, she may be entitled to draw HRA as per the categorization of cities by the Govt. of India., Note: In all the above cases, the fellow will submit a relevant certificate (Annexure-VI) through the concerned University/College/Institute to the identified Agency for settling the claim., Medical, No separate/fixed medical assistance is provided. However, the fellow may avail of the medical facilities available in the Universities/Colleges/Institutes., Leave, 1. Leave for a maximum period of 30 days in a year in addition to the public holidays that may be taken by the candidate. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations., 2. Maternity leave as per the Govt. of India norms issued from time to time would be available at full rates of the fellowship once during the tenure of their award., 3. Academic leave (without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed by UGC","1. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme., 2. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:, Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956., Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC., Universities/Colleges/Institutes funded by Central/ State Govt., Institutes of National Importance., 3. Admission to Ph.D. Course in Distance education mode is not covered under the scheme., 4. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible., 5. Transgender candidates are eligible to apply under the scheme as per the norms.","Female,Transgender",<40,,,,,,,,,"1. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme., 2. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:, Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956., Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC., Universities/Colleges/Institutes funded by Central/ State Govt., Institutes of National Importance., 3. Admission to Ph.D. Course in Distance education mode is not covered under the scheme., 4. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible., 5. Transgender candidates are eligible to apply under the scheme as per the norms."
Swami Vivekananda Single Girl Child Fellowship for Research in Social Sciences,"Fellowship, Girls Education, PhD, Research, Single Girl Child, Social Science, Swami Vivekananda, Education","A fellowship scheme by the University Grants Commission (UGC) for Single Girl Child for research in Social Sciences with an aim to compensate for direct costs of higher education, especially for such girls who happen to be the only girl child in their family.","Financial Assistance, The financial assistance available under the scheme is as follows:, 1. Fellowship @ ₹25,000/- per month for the Initial two years; @ ₹28,000/- per month for the remaining tenure., 2. Contingency @ ₹10,000/- per annum for initial two years; @ ₹20,500/- per annum for remaining tenure., 3. Escort Reader Assistance @ ₹2,000/- per month in case of PWD candidates., Slots, The number of slots for the fellowship may be decided every year on the basis of eligible applications, complete in all respects, received through online mode., Tenure, The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted up to the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date., HRA, Suitable single-seated hostel accommodation may be provided to the candidates in the institutions. In such cases, the fellow is eligible to draw only hostel fees excluding mess, electricity, water charges, etc. A certificate to this effect is to be furnished through the Registrar/Director/Principal. HRA is not permissible for those candidates who are staying in Hostel accommodation., In case of non-availability of hostel accommodation, the fellow may be provided with single accommodation by the host institution. In such cases, the rent paid by the fellow on an actual basis may be reimbursed subject to the ceiling of HRA as per Govt. of India norms., If the fellow makes her own arrangements of accommodation, she may be entitled to draw HRA as per the categorization of cities by the Govt. of India., Note: In all the above cases, the fellow will submit a relevant certificate (Annexure-VI) through the concerned University/College/Institute to the identified Agency for settling the claim., Medical, No separate/fixed medical assistance is provided. However, the fellow may avail of the medical facilities available in the Universities/Colleges/Institutes., Leave, 1. Leave for a maximum period of 30 days in a year in addition to the public holidays that may be taken by the candidate. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations., 2. Maternity leave as per the Govt. of India norms issued from time to time would be available at full rates of the fellowship once during the tenure of their award., 3. Academic leave (without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed by UGC","1. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme., 2. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:, Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956., Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC., Universities/Colleges/Institutes funded by Central/ State Govt., Institutes of National Importance., 3. Admission to Ph.D. Course in Distance education mode is not covered under the scheme., 4. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible., 5. Transgender candidates are eligible to apply under the scheme as per the norms.","Female,Transgender",<45,,"SC,ST,OBC",Yes,,,,,,"1. Any single girl child of her parents pursuing a Ph.D. in Social Sciences in Universities/Colleges/ Institutes is eligible to apply under the scheme. In a family, if one son and one daughter are available then the girl child will not be considered for fellowship under the scheme., 2. The scheme is applicable to such a single girl child who has registered herself in regular, full-time Ph. D. program in Social Sciences in Indian Universities/Colleges/Institutes as indicated below:, Universities/Colleges/Institutes included under section 2(f) and 12(b) of UGC Act, 1956., Deemed to be Universities under section 3 of the UGC Act 1956 which are eligible to receive grants in aid from UGC., Universities/Colleges/Institutes funded by Central/ State Govt., Institutes of National Importance., 3. Admission to Ph.D. Course in Distance education mode is not covered under the scheme., 4. Girl students up to the age of 40 years for the general category and 45 years for the reserved categories i.e. SC/ST/OBC and PWD (Persons with Disabilities) as on the last date of submission of online application are eligible., 5. Transgender candidates are eligible to apply under the scheme as per the norms."
Swachh Bharat Mission – Urban 2.0,"Sanitation, Toilet",A sanitation scheme for the construction of Individual Household Latrines (IHHL) for urban households. The Mission has the following components:,"A Financial support of minimum, Rs - 6667 (in Andhra Pradesh ,Bihar, Chhattisgarh ,Goa, Gujarat, Haryana, Jharkhand, Karnataka ,Kerala, Madhya Pradesh, Maharashtra ,Odisha, Punjab, Rajasthan, Tamil Nadu, Telangana, Uttar Pradesh, West Bengal),, Rs - 12,000 (in Uttarakhand, Himachal Pradesh, Arunachal Pradesh, Manipur, Meghalaya, Mizoram, Nagaland, Sikkim, Tripura, Assam), Rs - 5333 (in Union Territories) is provided for Toilet Construction",Any household that does not have access to an individual household toilet ( 80% of urban households engaging in open defecation) or has an insanitary toilet.,,,,,,,,,,,"Aadhar Linked Transfer of Incentive, Aadhar Number, Bank Account Detail - Passbook, Photograph"
Swachh Bharat Mission – Grameen PHASE I,"Grameen, Rural, Sanitation, Swachh Bharat, Toilet","To accelerate the efforts to achieve universal sanitation coverage and to put the focus on sanitation, the Prime Minister of India had launched the Swachh Bharat Mission on 2nd October 2014. Under the mission, all villages, Gram Panchayats, Districts, States and Union Territories in India declared themselves ""open-defecation free"" (ODF) by 2 October 2019, the 150th birth anniversary of Mahatma Gandhi, by constructing over 100 million toilets in rural India. To ensure that the open defecation free behaviours are sustained, no one is left behind, and that solid and liquid waste management facilities are accessible, the Mission is moving towards the next Phase II of SBMG i.e ODF-Plus. ODF Plus activities under Phase II of Swachh Bharat Mission (Grameen) will reinforce ODF behaviours and focus on providing interventions for the safe management of solid and liquid waste in villages.","The Swachh Bharat Mission (Gramin) launched on 2nd October, 2014, by modifying the erstwhile Nirmal Bharat Abhiyan (NBA), is a community-led and people-oriented program aimed at universalizing safe sanitation. Swachh Bharat Mission (Gramin) is the only sanitation programme implemented by the Ministry of Drinking Water and Sanitation (now Ministry of Jal Shakti)., Financial support of Rs - 12,000 for APL and BPL Rural households including storage for handwashing and cleaning of the toilet, Payment of incentives may be in cash or in the form of construction materials or credit vouchers for such materials.",This scheme is for any rural household that does not have access to an individual household toilet.,,,Rural,,,,,,,,"Aadhar Number, Bank Account Detail* - Passbook, Photograph*"
Top Class Education For Students With Disabilities,"Books And Stationery, Empowerment, Person With Disability, Scholarship, Student, Tuition Fee, Scholarship","A scholarship scheme by DoEPwDs for Students with Disabilities (SwDs) pursuing studies beyond class 12th admitted in a full-time course in one of the 'notified institutions'. The students with the specified disabilities defined in Schedule of the ""Rights of Persons with Disabilities Act, 2016"" will be eligible under this scheme. This includes persons with visual, hearing, speech, loco-motor, mental retardation, and other disabilities.","Payment of Full tuition fee and non-refundable charges (Ceiling of Rs. 2.00 LPA per student for private sector institutions), Living expenses: ₹ 3000/- per month per student., Books and stationery: ₹ 5000/- per annum per student., A computer/laptop with accessories (UPS and printer) is limited to ₹ 30,000/- per student (one-time assistance)., Reimbursement of expenses for the purchase of Aids and Assistive Devices including necessary software related to the particular disability of the selected candidate: ₹ 30,000/- per student (one-time assistance)., Special Allowance (related to types of disabilities like Reader Allowance, Escort Allowance, Helper Allowance etc.): ₹ 2000/- per month.","The applicant should be a Student admitted in a full-time course in one of the ""notified institutions""., The Percentage of Disability should be 40% or above., The applicant should be Pursuing a Graduate or Post Graduate Degree or Diploma., The Total Annual Income of the Parent / Guardian should be less than or equal to ₹ 6.00 Lakh per Annum., The applicant MUST NOT be the third sibling in his/her family who is availing of this scholarship.","Male,Female,Others",,,,Yes,,,<=600000,"undergraduate,Postgraduate,Diploma",,"Income Certificate., Domicile Certificate., Self-attested Degree/Mark Sheet of the last qualifying exam., Fee Receipt of ‘Current Course Year’., Bank Details of the applicant or of the Parent/Guardian., Aadhaar Number., Bonafide Student Certificate from the school/institute., Recent colour photograph of the candidate., Certificate of Disability (issued by a competent authority)., Declaration Certificate (issued by HoD or competent authority of the university or institute)."
Top Class Education For Scheduled Caste Students,"Education, Scheduled Caste, Scholarship, Student, Tuition Fee, Education, Scholarship",A scholarship scheme by Ministry of Social Justice and Empowerment for Scheduled Caste students pursuing studies beyond class 12th admitted in a full-time course in one of the notified institutions. The total annual family income from all sources must be less than or equal to Rs. 8.00 lakh. The benefit of the Scheme will not be provided to more than 2 siblings in a family.,"Payment of Full tuition fee and non-refundable charges (Ceiling of Rs. 2.00 LPA per student for private sector institutions; Ceiling of Rs.3.72 LPA per student for the private sector flying clubs for Commercial Pilot Training and Type Rating Courses), Living expenses: ₹ 3000/- per month per student., Books and stationery: ₹ 5000/- per annum per student., A computer/laptop with accessories (UPS and printer) limited to ₹ 45000/- per student (one-time assistance).","The applicant must be a student., The applicant must be pursuing studies beyond class 12th admitted in a full-time course in one of the ""notified institutions"" (refer definition)., The applicant must be from a Scheduled Caste., The Total Annual Family Income of the applicant must be less than or equal to ₹ 8 Lakh per Annum.","Male,Female,Others",,,SC,,,Student,<=800000,High School,,"Income Certificate., Domicile Certificate., Self-attested Degree/Mark Sheet of the last qualifying exam., Fee Receipt of ‘Current Course Year’., Bank Details of the applicant or of the Parent/Guardian., Aadhaar Number., Bonafide Student Certificate from the school/institute., Recent colour photograph of the candidate., Caste certificate (issued by SDM or Tehsildar or any competent authority)., Declaration Certificate (issued by HoD or competent authority of the university or institute)."
The NSFDC Internship Scheme,"Internship, Opportunity, Skill Development, Student, Skill Development","""The NSFDC Internship Scheme 2024"" is implemented by the National Scheduled Castes Finance & Development Corporation, Ministry of Social Justice & Empowerment, Government of India. This scheme provides a platform for students to gain practical experience and understand the operations of a Central Public Sector Enterprise (CPSE) involved in socio-economic development schemes for scheduled caste communities in India. The internship will expose students to various programs and schemes undertaken by NSFDC, offering them hands-on experience in a professional environment.","Professional Exposure: Interns gain practical experience in the functioning of a CPSE and understand the work culture in a government organization., Learning Opportunities: Interns get to work on various socio-economic development schemes and programs, enhancing their understanding of social justice initiatives., Skill Development: The internship allows students to develop skills in research, project management, and policy implementation., Networking: Interns have the opportunity to interact with NSFDC officers and other interns, expanding their professional network., Certificate of Experience: Interns receive a certificate upon successful completion of the internship, which can be valuable for future career opportunities.","The student should be pursuing or completed their undergraduate, graduate, or postgraduate degrees from recognized universities, colleges, or institutions in India., The applicant must have his own laptop for the internship., The applicant can get the internship benefit only at once during a financial year.","Male,Female,Others",,,,,,,,"Undergraduate, Postgraduate",,"Resume., Marksheet., Degree Certificate., No Objection Certificate (NOC) from their educational institution., School/College ID Proof."
The Lokpal of India Internship Scheme,"Financial Assistance, Internship, Stipend, Student, Financial Assistance","The Lokpal of India launched ""The Lokpal of India Internship Scheme"". The interns will get an opportunity to learn about the implementation of the Lokpal and Lokayuktas Act, the Prevention of Corruption Act, the Central Vigilance Commission Act, the Delhi Police Establishment Act and other related laws and procedures. They will also learn about the functioning of various institutions like, the Lokpal, the Central Vigilance Commission, The Delhi Police Establishment (CBI), etc.","A stipend of ₹10,000/- per month., The Lokpal of India gives a certificate to the interns completing the internship successfully., The Lokpal of India provides working space, internet, and other appropriate facilities to the interns.","The applicant should be a student., The applicant should be pursuing a regular undergraduate or postgraduate degree course in the field of Law, Political Science, Public Administration, Public Policy, Management, Economics, or Human Rights., The applicant must have secured at least 75% or equivalent marks in the 12 class., The undergraduate student must have completed at least two years of study in the undergraduate course., The undergraduate student must have a minimum aggregate of 55% or equivalent marks in years completed till the date of application., The postgraduate students must have a minimum aggregate of 55% or equivalent in the graduation course., The applicant must have his own laptop for the internship.","Male,Female,Others",,,,,,Student,,"Undergraduate,Postgraduate",,"Educational Certificate, Recommendation Certificate, Any Other Document If Required"
The Inland Waterways Authority of India Internship Scheme,"Internship, Stipend, Student","Inland Waterways Authority of India (IWAI); a statutory body under the Ministry of Ports, Shipping and Waterways has introduced a scheme named ""The Inland Waterways Authority of India Internship Scheme"". This Internship Programme will provide an excellent opportunity to interns to familiarize them with the overall proves of development of Inland Waterways Authority of India at the macro level.","Stipend @ ₹ 10,000/- for Undergraduates and ₹ 20,000/- for Post Graduate/ Research Scholars per month will be payable on satisfactory completion of their internships., A certificate regarding the successful completion of the Internship shall be issued by IWAI in the enclosed format in Annexure-B of the Scheme Guidelines.","A candidate must be pursuing or have completed a Graduate/PG degree from a recognized university (national as well international) is eligible to apply for the internship provided:, Graduates must have a score of at least 75% in the 12th standard., PG students must have obtained 60% marks in graduation., Research scholars must have scored a minimum of 60% marks in a PG degree.","Male,Female,Others",,,,,,,,"Undergraduate,Postgraduate",,"At the time of Joining the Internship, Letter from the Head of Department/ Principal, indicating their status in the institution., ""No Objection"" from the Head of Department/ Principal., Declaration of Secrecy (to be furnished before reporting for the internship), At the time of Completion of the Internship, A Report/Paper on the allotted subject at the end of the internship., Mandatory Feedback to the concerned HoD."
Testing Fee Reimbursement Scheme,"Business, Enterpremeurship",Testing Fee Reimbursement Scheme for Scheduled Caste / Scheduled Tribe is a sub scheme under National Scheduled Caste and Scheduled Tribe Hub (NSSH) scheme. This component has provision for reimbursement on testing fee charged by various National Accreditation Board for Testing(NABL) or Bureau of Indian Standards(BIS) accredited laboratories across the country to SC-ST MSEs.,"SC-ST MSEs can receive reimbursement of 80% or ₹1,00,000/- (excluding GST and other applicable taxes), whichever is lower, for testing fees paid to NABL or BIS accredited laboratories, labs of government departments/PSUs, and for BIS licenses/certifications., The scheme covers testing of raw materials, semi-finished products, and finished products., Reimbursement can be availed multiple times within a financial year, though there's a cap on the total amount.","Applicant should have a micro or small scale industry., Applicant should belong to Scheduled Caste (SC) or Scheduled Tribe (ST)., The enterprise must be registered with the Udyam portal or any other valid registration platform recognized by the MSME Ministry.","Male,Female,Others",,,"SC,ST",,,,,,,"Self-certified copy of UAM & GST, Self-certified copy of PAN card - In case of proprietorship, PAN card of SC/ST proprietor ought to be submitted, Self-certified copy of Caste certificate of proprietor/ all partners/ directors, Details of shareholding in case of partnership / Pvt. Ltd / LLP firm. In case of partnership concerns, shareholding of the enterprise would be required to ascertain status of the MSE as SC/ST MSE (shareholding of SC/ST entrepreneur to be > 51%). Attested copy of Partnership Deed for Partnership Firm / Memorandum and Article of Association in case of LLP/Private Limited Company are required, Attested or original copy (signature with stamp) of payment receipt and system generated GST invoice for total amount paid to respective testing center or laboratory for availing various testing services, NABL/ BIS attested copy of final testing report received from the laboratory duly stamped and signed for all tests availed by SC-ST MSE unit, Proof of transferred amount as reimbursement by NSSHO/ NSIC through PFMS under the scheme, where any such assistance is availed earlier with in the same financial year, Cancelled Cheque of the current account of the enterprise from which the testing charges have been debited"
Tenzing Norgay National Adventure Award,"Award, Sports, Youth","The Ministry of Youth Affairs and Sports, Government of India confers the National Adventure Award called “Tenzing Norgay National Adventure Award” (TNNAA) in order to recognize the achievements of persons associated in the field of adventure and to encourage young people to develop the spirit of endurance, risk-taking, cooperative teamwork and quick, ready and effective reflexes in challenging situations.","The award consists of a bronze statuette, a certificate, a blazer with a silken tie/a saree, and award money of ₹ 15,00,000. The Awards are presented to the winners along with Arjuna Awards by the Government of India., The Status of the Award will be the same as the Arjuna Awards conferred in the field of Sports by the Ministry of Youth Affairs and Sports.', The Awards will be presented to the winners along with Arjuna Awards by the Government of India., The Awardees will be reimbursed to and fro airfare (economy class) and such other fare of conveyance as relevant in the journey through the shortest route from his/her place of stay to the place of the award ceremony and back subject to production of the original boarding passes/ Tickets etc. along with duly filled in proforma. Awardees would be given reimbursement for AC 1-tier rail journey if opted., Awardees will also be provided free boarding and lodging in a suitable place for the award ceremony., One companion with each lady and the physically handicapped awardee will be provided with the same traveling and boarding/lodging facilities as that of the awardee himself/herself.","A person should have excellent performance and outstanding qualities of leadership, a sense of adventure discipline, and continuous achievement in one particular field of adventure viz. Land, Air, or Water (Sea)., The award may be given posthumously if such an occasion arises.",,,,,,,,,,,"Passport Sized Photograph, Proof of Identity, Proof of Address, Proof of Age (10th Marksheet), Proof reg. the Educational Qualifications (Marksheets, Degree), Duly Filled and Signed Description of Achievements as per the format given in the scheme guidelines., If a candidate is selected for the award, he/ she would be required to furnish the following to the Ministry:, a) bank mandate form duly authorized by the bank., b) high-resolution photographs wherein the candidate is visible performing the adventure activity., c) measurement for tailoring work."
